Single	Claim-B
sex	Claim-I
schools	Claim-I
are	Claim-I
not	Claim-I
good	Claim-I
because	O
they	Premise-B
do	Premise-I
not	Premise-I
give	Premise-I
you	Premise-I
the	Premise-I
same	Premise-I
oppertunity	Premise-I
to	Premise-I
us	Premise-I
as	Premise-I
a	Premise-I
co-ed	Premise-I
schools	Premise-I
do	Premise-I
.	Premise-I
.	Premise-I
.	Premise-I
you	O
shoulkd	O
post	O
some	O
things	O
for	O
debate	O
teams	O
.	O
That	O
is	O
why	O
I	O
am	O
doing	O
this	O
,	O
because	O
of	O
one	O
of	O
my	O
classes	O
.	O
It	O
is	O
hard	O
to	O
find	O
out	O
things	O
that	O
are	O
good	O
about	O
co-ed	O
schools	O
and	O
bad	O
things	O
about	O
single	O
sex	O
schools	O
