Prayer	Claim-B
should	Claim-I
be	Claim-I
back	Claim-I
in	Claim-I
school	Claim-I
to	Premise-B
give	Premise-I
these	Premise-I
kids	Premise-I
that	Premise-I
are	Premise-I
going	Premise-I
up	Premise-I
a	Premise-I
sense	Premise-I
of	Premise-I
belief	Premise-I
,	Premise-I
trust	Premise-I
and	Premise-I
fear	Premise-I
of	Premise-I
God	Premise-I
,	Premise-I
because	Premise-I
kids	Premise-I
these	Premise-I
days	Premise-I
think	Premise-I
they	Premise-I
could	Premise-I
do	Premise-I
anything	Premise-I
they	Premise-I
want	Premise-I
to	Premise-I
and	Premise-I
get	Premise-I
away	Premise-I
with	Premise-I
it	Premise-I
.	Premise-I
